file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,1,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,5
styles.css,2,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,42
styles.css,3,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,4,css,d5970960,binkybarnes,2025-01-10,19:48:10,-08:00,2025-01-10T19:48:10-08:00,0,0
styles.css,5,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,4
styles.css,6,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,1,23
styles.css,7,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,0
styles.css,8,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,0
styles.css,9,css,d5970960,binkybarnes,2025-01-10,19:48:10,-08:00,2025-01-10T19:48:10-08:00,0,4
styles.css,10,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,23
styles.css,11,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,15
styles.css,12,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,18
styles.css,13,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,19
styles.css,14,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,32
styles.css,15,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,16,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,17,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,2
styles.css,18,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,14
styles.css,19,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,20,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,1
styles.css,21,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,1
styles.css,22,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,1
styles.css,23,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,1
styles.css,24,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,1
styles.css,25,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,2
styles.css,26,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,15
styles.css,27,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,1,17
styles.css,28,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,29,css,0c9a162c,binkybarnes,2025-01-17,22:00:15,-08:00,2025-01-17T22:00:15-08:00,0,0
styles.css,30,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,43
styles.css,31,css,a65ce28f,binkybarnes,2025-01-25,21:36:26,-08:00,2025-01-25T21:36:26-08:00,0,18
